,CNPJ_Gestor,Nome_Gestor,0
1,03215562000140,dynamo v. c. administradora de recursos ltda.,1
2,03864607000108,rio bravo investimentos ltda.,1
6,00329598000167,índigo investimento dtvm ltda,2
7,00329598000167,índigo investimentos dtvm ltda,2
8,00336036000140,coinvalores c. c. v. m. ltda.,8
9,00336036000140,coinvalores c.c.v.m. ltda.,12
10,00360305000104,caixa economica federal,9
11,00360305000104,caixa econômica federal,2
12,00424749000166,solidus administração de patrimônio ltda.,5
13,00798193400109,rb capital investimentos ltda.,11
14,00806535000154,planner corretora de valores,7
15,00806535000154,planner corretora de valores s.a.,42
16,01034817000143,ourinvest asset gestora de recursos ltda,9
17,01116811000115,modal administradora de recursos ltda.,38
18,01290707000142,àtico administração de recursos ltda,1
19,01336261000187,trx gestora de recursos ltda,5
20,01582158000180,opportunity dtvm ltda,12
21,01591499000111,tag investimentos ltda,25
22,01861016000151,far - fator administração de recursos ltda,3
23,01861016000151,far - fator administração de recursus ltda,3
24,01861016000151,far -fator administração de recursos ltda,1
25,01861016000151,far-fator administração de recursos ltda,1
26,01861016000151,fara-fator administração de recursos ltda,1
27,02150453000120,oliveira trust servicer s.a.,14
28,02195036600100,alianza gestão de recursos ltda,4
29,02201501000161,bny mellon serviços financeiros dtvm s/a,3
30,02269237000106,reliance asset management administração de recursos ltda.,3
31,02332886000104,xp gestão de recursos ltda,3
32,02332886001178,"xp investimentos corretora de câmbio, títulos e valores mobiliários s.a.",2
33,02632552000175,jacarandá capital e gestão ltda,1
34,02671743000119,cm capital markets,1
35,03017677000120,banco j safra s.a.,7
36,03084098000109,artesanal investimentos ltda.,3
37,03215562000140,dynamo v. c. administradora de recursos ltda.,4
38,03226533000184,af invest administração de recursosltda.,1
39,03384738000198,bv distribuidora de títulos e valores mobiliários ltda.,14
40,03384738000198,votorantim asset management dtvm,17
41,03384738000198,votorantim asset management dtvm ltda.,94
42,03539353000152,hemisfério sul investimentos ltda,3
43,03539353000152,hsi - hemisfério sul investimentos ltda,4
44,03539353000152,hsi - hemisfério sul investimentos s.a,2
45,03751794000113,terra investimentos dtvm ltda,4
46,03829051000119,azimut brasil wealth management ltda,4
47,03829051000119,azimut brasil wealth management ltda.,1
48,03864607000108,rio bravo investimentos  ltda,2
49,03864607000108,rio bravo investimentos dtvm ltda.,1
50,03864607000108,rio bravo investimentos ltda,70
51,03864607000108,rio bravo investimentos ltda.,22
52,03987891000100,claritas administração de recursos ltda,6
53,04274010000176,capitania s/a,7
54,04274010000176,capitânia s.a.,3
55,04274010000176,capitânia s/a,2
56,04608141000142,sfi investimentos ltda,8
57,04608171000159,maua capital real estate ltda,2
58,04608171000159,mauá capital real estate ltda,1
59,04608171000159,mauá capital real estate ltda.,2
60,05083840000189,administradora pmv ltda.,6
61,05196089000127,geral asset management  s/s ltda.,4
62,05196089000127,geral asset management s/s ltda.,2
63,05196089000127,geral asset managemet s/s ltda.,2
64,05196089000127,geral investimentos gestão de recursos s/s ltda.,7
65,05196089000127,geral investimentos gestão de recursos ss ltda.,1
66,05230601000104,modal asset management ltda,3
67,05230601000104,modal asset management ltda.,6
68,05389174000101,modal distribuidora de títulos e valores mobiliários ltda,3
69,05451668000179,polo capital gestao de recursos ltda,10
70,05451668000179,polo capital gestão de recursos,6
71,05451668000179,polo capital gestão de recursos ltda.,11
72,05585083000141,inter asset gestão de recursos ltda,4
73,05599583000132,infra asset management ltda,9
74,05677501000120,bs2 management,1
75,06128322000103,cfo administracao de recursos ltda,1
76,06128322000105,cfo administração de recursos ltda,3
77,06128322000105,cfo administração de recursos ltda.,2
78,06249546000248,rodobens locacoes de imoveis ltda,3
79,07152171000185,a5 gestao de investimentos ltda.,2
80,07152171000185,a5 gestão de investimento ltda,2
81,07221832000187,argucia capital gestao de recursos ltda,2
82,07221832000187,argucia capital gestao de recursos ltda.,1
83,07221832000187,argucia capital gestão de recursos ltda.,1
84,07250864000100,queluz gestão de recursos financeiros ltda,6
85,07397614000106,bancoob distribuidora de títulos e valores mobiliários ltda.,4
86,07397614000106,sicoob distribuidora de títulos e valores mobiliários ltda.,1
87,07559989000117,valora gestao de investimentos ltda,4
88,07559989000117,valora gestao de investimntos ltda,2
89,07559989000117,valora gestão de investimentos ltda,2
90,07559989000117,valora gestão de investimentos ltda.,5
91,07611259000118,riviera gestora de recursos ltda,3
92,07611259000118,riviera gestora de recursos ltda.,2
93,07611259000118,riviera investimentos,2
94,07625159000140,btg pactual gestora de investimentos alternativos ltda,2
95,07625159000140,btg pactual gestora de investimentos alternativos ltda.,1
96,07625200000189,xp gestão de recursos ltda,15
97,07625200000189,xp gestão de recursos ltda.,8
98,07669414000157,brl trust  serviços fiduciarios e participações ltda,3
99,07669414000157,brl trust serviços fiduciarios e participação ltda,1
100,07683636000124,quorum participações ltda,3
101,07700557000184,brookfield incorporações s.a,1
102,07981934000109,rb capital asset management,3
103,07981934000109,rb capital asset management ltda,17
104,07981934000109,rb capital asset management ltda.,26
105,07981934000109,rb capital asset manegement ltda,5
106,07981934000109,rb capital investimento ltda,1
107,07981934000109,rb capital investimentos ltda.,2
108,08157028000149,am capital - gestãode ativos ltda,1
109,08157028000149,fram capital  gestão de ativos ltda,2
110,08157028000149,fram capital gestão de ativos ltda,19
111,08157028000149,fram capital gestão de ativos ltda.,1
112,08278785000170,latour capital do brasil ltda,4
