CNPJ_Fundo,Data_Referencia,Versao,Nome_Imovel,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2016-12-31,1,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2016-10-14,246.0,8.0,Construção propia,0.0035,0.0012
01.235.622/0001-61,2016-12-31,1,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",2016-10-27,242.0,6.0,Construção propia,0.34,0.0011
01.235.622/0001-61,2016-12-31,1,Fusion,"Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2016-11-28,367.0,12.0,Construção propia,0.0038,0.0013
01.235.622/0001-61,2016-12-31,1,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2016-10-27,637.0,20.0,Construção propia,0.0069,0.0023
01.235.622/0001-61,2016-12-31,1,Le Quartier,"Bloco ""A"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2016-12-01,27.0,1.0,Construção propia,0.0003,0.0001
01.235.622/0001-61,2016-12-31,1,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",2016-11-30,65.0,1.0,Aquisição de unidades prontas,0.0008,0.0003
01.235.622/0001-61,2016-12-31,1,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2016-12-26,350.0,5.0,Construção propia,0.0036,0.0012
01.235.622/0001-61,2016-12-31,1,Seasons,"Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ",2016-11-16,59.0,1.0,Aquisição de unidades prontas,0.0005,0.0002
01.235.622/0001-61,2016-12-31,1,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",2016-11-08,321.0,2.0,Aquisição de unidades prontas,0.0046,0.0015
01.235.622/0001-61,2016-12-31,1,Dação Allegro,-,2016-11-22,70.0,1.0,Aquisição de unidades prontas,0.0006,0.0002
07.583.627/0001-61,2016-12-31,1,não aplicavel,não aplicavel,1899-12-31,0.0,1.0,,0.0,0.0
09.072.017/0001-29,2016-12-31,2,Atrium IV - Cjs 101 a 104,"Rua Helena, 260 - São Paulo - SP",2016-11-23,1019.34,4.0,-,0.002358,0.0024
12.323.955/0001-69,2016-12-31,2,"Av. República do Chile, 230","Av. República do Chile, 230, Sala 1901, Freguesia de São José, Rio de Janeiro",2016-12-27,,1.0,"Av. República do Chile, 230",1.2153,0.1544
14.056.001/0001-62,2016-12-31,1,Reve Leblon,"Av. Visconde de Albuqurque, 552",2016-11-16,82.23,1.0,Apartamento de 2 quartos,0.028754,0.026085
14.056.001/0001-62,2016-12-31,1,Reve Leblon,"Av. Visconde de Albuqurque, 552",2016-11-01,145.36,1.0,Cobertura,0.045943,0.04168
17.209.378/0001-00,2016-12-31,1,Unidade 1703 - Torre I do Urban Resort,(Rua Vitória e Praça Júlio de Mesquita - São Paulo),2016-10-15,41.0,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0025,0.0024
18.497.672/0001-10,2016-12-31,1,Visage Arena 801,"Rua 52, quadra B-10, lote 07, Jardim Goiás, Goiânia, Goiás",2016-11-16,77.76,1.0,,1.18,1.14
22.888.670/0001-29,2016-12-31,2,Condomínio #Tag Decor#,"Rua General Chagas Santos, 227 a 241, unidade 162, Bairro da Saúde, São Paulo",2016-11-23,80309.0,1.0,Condomínio #Tag Decor#,0.0661,0.0516
22.888.670/0001-29,2016-12-31,2,Condomínio Pax Perdizes,"Rua Urbanizadora, 232, unidade 81,  Bairro de Perdizes, São Paulo",2016-12-28,136196.0,1.0,Condomínio Pax Perdizes,0.1398,0.1028
01.235.622/0001-61,2017-03-31,1,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,204.0,6.0,Construção propia,0.0032,0.001
01.235.622/0001-61,2017-03-31,1,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,215.0,6.0,Construção propia,0.0033,0.001
01.235.622/0001-61,2017-03-31,1,Fusion,"Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,503.0,17.0,Construção propia,0.0054,0.0017
01.235.622/0001-61,2017-03-31,1,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,546.0,18.0,Construção propia,0.0066,0.0021
01.235.622/0001-61,2017-03-31,1,Le Quartier,"Bloco ""A"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,99.0,1.0,Construção propia,0.0011,0.004
01.235.622/0001-61,2017-03-31,1,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",,,,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2017-03-31,1,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",,355.0,5.0,Aquisição de unidades prontas,0.0036,0.0011
01.235.622/0001-61,2017-03-31,1,Seasons,"Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ",,59.0,1.0,Aquisição de unidades prontas,0.0005,0.0002
01.235.622/0001-61,2017-03-31,1,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",,482.0,3.0,Aquisição de unidades prontas,0.0082,0.0026
01.235.622/0001-61,2017-03-31,1,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",,207.0,2.0,Aquisição de unidades prontas,0.0,0.0
