CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
01.235.622/0001-61,2016-12-31,1,Imóveis para renda em construção,Metropolitan,Atraso no serviço de execução do Drywall,Não se aplica
01.235.622/0001-61,2016-12-31,1,Imóveis para renda em construção,Miguel Couto,Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.,Não se aplica
03.855.441/0001-63,2016-12-31,1,Imóveis para renda em construção,Laboratório de Fluidos,,
07.583.627/0001-61,2016-12-31,1,Imóveis para renda em construção,não aplicavel,não aplicavel,não aplicavel
11.044.355/0001-07,2016-12-31,1,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.",Não se aplica
12.681.340/0001-04,2016-12-31,1,Imóveis para renda em construção,Ag. Parque Boturussu,"imóvel acabado, pendente apenas a vistoria do locatário",
12.681.340/0001-04,2016-12-31,1,Imóveis para renda em construção,Ag. Raposo,imóvel em processo de orçamento,
12.978.943/0001-72,2016-12-31,2,Imóveis para renda em construção,Edifício Administrativo Natura São Paulo,,
12.989.974/0001-29,2016-12-31,2,Imóveis para renda em construção,Pátio da Marítima,"Atraso de obra em relação ao inicialmente projetado, porém sem prejuízo na data prevista para conclusão.",O FII PM não arca com custo de construção.
12.989.974/0001-29,2016-12-31,2,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2016-12-31,2,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2016-12-31,2,Imóveis para renda em construção,JPL L´Oréal,"Atraso de obra em relação ao inicialmente projetado, porém sem prejuízo na data prevista para conclusão.",O FII PM não arca com custo de construção.
14.069.202/0001-02,2016-12-31,1,Imóveis para renda em construção,AQ³ LOG Queimados,,
15.461.076/0001-91,2016-12-31,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,0,0
15.461.076/0001-91,2016-12-31,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel Royal Tulip,0,0
15.461.076/0001-91,2016-12-31,1,Imóveis para renda em construção,64 Unidades Standard no Hotel  Royal Tulip,0,0
15.461.076/0001-91,2016-12-31,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,0,0
15.461.076/0001-91,2016-12-31,1,Imóveis para renda em construção,51 Unidades  Master no Hotel  Royal Tulip,0,0
15.461.076/0001-91,2016-12-31,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,0,0
15.576.907/0001-70,2016-12-31,2,Imóveis para renda em construção,Estrada do Campo Limpo,,
15.576.907/0001-70,2016-12-31,2,Imóveis para renda em construção,Pátio do Colégio,,
15.576.907/0001-70,2016-12-31,2,Imóveis para renda em construção,Ag Industrial,,
15.576.907/0001-70,2016-12-31,2,Imóveis para renda em construção,Pedro Vicente,,
15.576.907/0001-70,2016-12-31,2,Imóveis para renda em construção,Estrada Rio do A,,
15.576.907/0001-70,2016-12-31,2,Imóveis para renda em construção,Rio Claro,,
17.209.378/0001-00,2016-12-31,1,Imóveis para venda em construção,Empreendimento Urban Resort,Não aplicável - as obras estão dentro do previsto,Não aplicável - as obras estão dentro do previsto
17.209.378/0001-00,2016-12-31,1,Imóveis para venda em construção,Empreendimento Trend Higienópolis,Não aplicável - as obras estão dentro do previsto,Não aplicável - as obras estão dentro do previsto
17.209.378/0001-00,2016-12-31,1,Imóveis para venda em construção,Empreendimento Nun Vila Nova,Não aplicável - as obras estão dentro do previsto,Não aplicável - as obras estão dentro do previsto
17.216.625/0001-98,2016-12-31,1,Imóveis para renda em construção,Projeto Flora (Idea Zarvos SPE 24 Ltda),"Período de chuva atrasou alguns itens, porém os mesmos não são caminho crítico para obra e o cronograma deve ser executados no proximo trimestre, retomando o andamento normal da obra.",
17.311.079/0001-74,2016-12-31,1,Imóveis para renda em construção,Praça Capital - Bloco 02,Não se aplica.,Não se aplica.
17.590.518/0001-25,2016-12-31,2,Imóveis para venda em construção,0,0,0
17.590.518/0001-25,2016-12-31,2,Imóveis para renda em construção,0,0,0
18.369.510/0001-04,2016-12-31,1,Imóveis para renda em construção,IMÓVEL CONASA,,
18.929.051/0001-68,2016-12-31,1,Imóveis para renda em construção,BETIM,Obras em fase final,Sem alteração do valor do custo estimado.
20.265.467/0001-70,2016-12-31,1,Imóveis para renda em construção,Edifício comercial Raja Quick,Obras sem atraso,Custo conofrme programado
20.265.467/0001-70,2016-12-31,1,Imóveis para venda em construção,Residencial os Inconfidentes,Obras sem atraso,Custo conofrme programado
20.265.467/0001-70,2016-12-31,1,Imóveis para renda em construção,Edificio Comercial Cassio Resende II,Obras sem atraso,Custo conofrme programado
22.003.469/0001-17,2016-12-31,1,Imóveis para renda em construção,Imóvel 1,,
23.426.470/0001-17,2016-12-31,1,Imóveis para venda em construção,"Imóvel 1: 100% da renda será proveniente do único imóvel em fase de construção, identificado no item 1.1.2.1.1 acima",,
26.132.504/0001-59,2016-12-31,1,Imóveis para venda em construção,Edifício Metro Office II,A evolução da construção está de acordo com o previsto.,Os custos não foram superiores ao previsto até o momento
26.395.660/0001-02,2016-12-31,1,Imóveis para venda em construção,Unidade 209,Obras em fasee inicial,Obras em fasee inicial
01.235.622/0001-61,2017-03-31,1,Imóveis para renda em construção,Miguel Couto,Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.,Não se aplica
01.235.622/0001-61,2017-03-31,1,Imóveis para renda em construção,Metropolitan,Atraso no serviço de execução de drywall.,Não se aplica
01.235.622/0001-61,2017-06-30,1,Imóveis para renda em construção,Miguel Couto,Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.,Não se aplica
01.235.622/0001-61,2017-09-29,2,Imóveis para venda em construção,"Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES",Não há atrasos relacionados a está obra,Os custos estão dentro do orçado
01.235.622/0001-61,2017-09-29,2,Imóveis para renda em construção,Miguel Couto,Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.,Não se aplica
01.235.622/0001-61,2017-12-29,2,Imóveis para renda em construção,Miguel Couto,Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.,Não se aplica
01.235.622/0001-61,2017-12-29,2,Imóveis para venda em construção,"Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES",Não há atrasos relacionados a está obra,Os custos estão dentro do orçado
03.683.056/0001-86,2017-12-31,1,Imóveis para renda em construção,ED MORUMBI PARK,Não há,Não há
03.855.441/0001-63,2017-03-31,1,Imóveis para renda em construção,Laboratório de Fluidos,,
03.855.441/0001-63,2017-06-30,1,Imóveis para renda em construção,Laboratório de Fluidos,,
03.855.441/0001-63,2017-09-30,1,Imóveis para renda em construção,Laboratório de Fluidos,,
03.855.441/0001-63,2017-12-31,1,Imóveis para renda em construção,Laboratório de Fluidos,,
07.583.627/0001-61,2017-03-31,1,Imóveis para renda em construção,Não Aplicavel,Não Aplicavel,Não Aplicavel
07.583.627/0001-61,2017-06-30,1,Imóveis para renda em construção,Não Aplicavel,Não Aplicavel,Não Aplicavel
07.583.627/0001-61,2017-09-30,1,Imóveis para renda em construção,Não Aplicavel,Não Aplicavel,Não Aplicavel
07.583.627/0001-61,2017-12-31,1,Imóveis para renda em construção,Não Aplicavel,Não Aplicavel,Não Aplicavel
07.583.627/0001-61,2017-12-31,1,Imóveis para venda em construção,Não aplicavel,Não aplicavel,Não aplicavel
11.044.355/0001-07,2017-03-31,1,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.",Não se aplica
11.044.355/0001-07,2017-06-30,1,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.",Não se aplica
11.044.355/0001-07,2017-09-30,1,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.",Não se aplica
11.044.355/0001-07,2017-12-31,2,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.",Não se aplica
12.681.340/0001-04,2017-03-31,1,Imóveis para renda em construção,Ag. Raposo,imóvel em processo de orçamento,não há
12.681.340/0001-04,2017-03-31,1,Imóveis para renda em construção,Ag. Parque Boturussu,"imóvel acabado, pendente apenas a vistoria do locatário",não há
12.681.340/0001-04,2017-06-30,1,Imóveis para renda em construção,Ag. Raposo,imóvel em processo de orçamento,não há
12.681.340/0001-04,2017-06-30,1,Imóveis para renda em construção,Ag. Parque Boturussu,"imóvel acabado, pendente apenas a vistoria do locatário",não há
12.681.340/0001-04,2017-09-30,1,Imóveis para renda em construção,Ag. Raposo,imóvel em processo de orçamento,não há
12.681.340/0001-04,2017-12-31,1,Imóveis para renda em construção,Ag. Raposo,imóvel em processo de orçamento,não há
12.811.222/0001-73,2017-06-30,1,Imóveis para renda em construção,Imóvel 4,Não se aplica,Não se aplica
12.811.222/0001-73,2017-06-30,1,Imóveis para renda em construção,Imóvel 5,Não se aplica,Não se aplica
12.811.222/0001-73,2017-06-30,1,Imóveis para renda em construção,Imóvel 1,Não se aplica,Não se aplica
12.811.222/0001-73,2017-06-30,1,Imóveis para renda em construção,Imóvel 3,Não se aplica,Não se aplica
12.811.222/0001-73,2017-06-30,1,Imóveis para renda em construção,Imóvel 2,Não se aplica,Não se aplica
12.811.222/0001-73,2017-09-29,1,Imóveis para renda em construção,Imóvel 3,Não se aplica,Não se aplica
12.811.222/0001-73,2017-09-29,1,Imóveis para renda em construção,Imóvel 4,Não se aplica,Não se aplica
12.811.222/0001-73,2017-09-29,1,Imóveis para renda em construção,Imóvel 2,Não se aplica,Não se aplica
12.811.222/0001-73,2017-09-29,1,Imóveis para renda em construção,Imóvel 1,Não se aplica,Não se aplica
12.811.222/0001-73,2017-09-29,1,Imóveis para renda em construção,Imóvel 5,Não se aplica,Não se aplica
12.811.222/0001-73,2017-12-29,1,Imóveis para renda em construção,Imóvel 3,Não se aplica,Não se aplica
12.811.222/0001-73,2017-12-29,1,Imóveis para renda em construção,Imóvel 4,Não se aplica,Não se aplica
12.811.222/0001-73,2017-12-29,1,Imóveis para renda em construção,Imóvel 2,Não se aplica,Não se aplica
12.811.222/0001-73,2017-12-29,1,Imóveis para renda em construção,Imóvel 5,Não se aplica,Não se aplica
