CNPJ_Fundo,Data_Referencia,Versao,Numero_Cotistas_Faixa_Ate_5,Numero_Cotas_Detidas_Faixa_Ate_5,Percentual_Cotas_Detidas_Faixa_Ate_5,Percentual_Detido_PF_Faixa_Ate_5,Percentual_Detido_PJ_Faixa_Ate_5,Numero_Cotistas_Faixa_5a10,Numero_Cotas_Detidas_Faixa_5a10,Percentual_Cotas_Detidas_Faixa_5a10,Percentual_Detido_PF_Faixa_5a10,Percentual_Detido_PJ_Faixa_5a10,Numero_Cotistas_Faixa_10a15,Numero_Cotas_Detidas_Faixa_10a15,Percentual_Cotas_Detidas_Faixa_10a15,Percentual_Detido_PF_Faixa_10a15,Percentual_Detido_PJ_Faixa_10a15,Numero_Cotistas_Faixa_15a20,Numero_Cotas_Detidas_Faixa_15a20,Percentual_Cotas_Detidas_Faixa_15a20,Percentual_Detido_PF_Faixa_15a20,Percentual_Detido_PJ_Faixa_15a20,Numero_Cotistas_Faixa_20a30,Numero_Cotas_Detidas_Faixa_20a30,Percentual_Cotas_Detidas_Faixa_20a30,Percentual_Detido_PF_Faixa_20a30,Percentual_Detido_PJ_Faixa_20a30,Numero_Cotistas_Faixa_30a40,Numero_Cotas_Detidas_Faixa_30a40,Percentual_Cotas_Detidas_Faixa_30a40,Percentual_Detido_PF_Faixa_30a40,Percentual_Detido_PJ_Faixa_30a40,Numero_Cotistas_Faixa_40a50,Numero_Cotas_Detidas_Faixa_40a50,Percentual_Cotas_Detidas_Faixa_40a50,Percentual_Detido_PF_Faixa_40a50,Percentual_Detido_PJ_Faixa_40a50,Numero_Cotistas_Faixa_Acima_50,Numero_Cotas_Detidas_Faixa_Acima_50,Percentual_Cotas_Detidas_Faixa_Acima_50,Percentual_Detido_PF_Faixa_Acima_50,Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31,2016-12-01,1,24.0,79074.0,0.0306,0.0006,0.03,1.0,169672.0,0.0657,0.0,0.0657,0.0,0.0,0.0,0.0,0.0,1.0,425515.0,0.1646,0.0,0.1646,0.0,0.0,0.0,0.0,0.0,2.0,1910112.0,0.7391,0.0,0.7391,0.0,0.0,0.0,0.0,0.0,,,,,
00.613.094/0001-74,2016-12-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,237289.0,0.312881,0.0,1.0,,,,,,,,,,
00.762.723/0001-28,2016-12-01,1,553.0,6426671.0,0.18,0.97,0.03,2.0,4966826.0,0.14,,1.0,,,,,,1.0,6361951.0,0.17,,1.0,,,,,,,,,,,,,,,,1.0,18564458.0,0.51,,1.0
00.868.235/0001-08,2016-12-31,1,3.0,2100.0,0.0387,1.0,0.0,2.0,6056.0,0.1115,0.0,1.0,,,,,,1.0,9084.0,0.167243537815745,0.0,1.0,,,,,,,,,,,,,,,,1.0,37076.0,0.6826,0.0,1.0
01.201.140/0001-90,2016-12-01,1,561.0,5422398.0,0.0889,0.0807,0.0082,2.0,7968544.0,0.1306,0.0762,0.0544,0.0,0.0,0.0,0.0,0.0,1.0,10154470.0,0.1664,0.0,0.1664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37473753.0,0.6141,0.0,0.6141
01.235.622/0001-61,2016-12-01,2,45.0,77774.0,1.0,0.11235,0.0,5.0,269320.0,1.0,0.38905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,345163.0,1.0,0.0,0.49861,0.0,0.0,0.0,0.0,0.0
01.497.954/0001-14,2016-12-01,1,4.0,576863.0,0.066276,0.008667,0.057609,,,,,,,,,,,,,,,,1.0,1740799.0,0.2,0.2,0.0,,,,,,,,,,,1.0,6386332.0,0.733724,0.0,0.733724
01.601.918/0001-59,2016-12-01,1,3.0,3150.0,0.0063,0.0,0.0063,2.0,71680.0,0.1434,0.0,0.1434,,,,,,1.0,100000.0,0.2,0.0,0.2,1.0,131798.0,0.2636,0.0,0.2636,1.0,193372.0,0.3867,0.0,0.3867,,,,,,,,,,
01.633.741/0001-72,2016-12-31,1,229.0,72130.0,0.1434,0.0636,0.0798,2.0,80212.0,0.1579,,0.1579,3.0,173471.0,0.341473,,0.3415,2.0,182195.0,0.358646,,0.3586,,,,,,,,,,,,,,,,,,,,
01.636.325/0001-28,2016-12-31,1,,,,,,,,,,,1.0,25000.0,0.107016882983459,,0.107016882983459,,,,,,1.0,52091.0,0.222984658059655,,0.222984658059655,2.0,156517.0,0.669998458956885,,0.669998458956885,,,,,,,,,,
01.657.856/0001-05,2016-12-31,1,84.0,2035679.0,0.4847,0.4847,0.0,6.0,2164321.0,0.5153,0.3607,0.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.964.775/0001-40,2016-12-01,1,,,,,,1.0,744200.0,0.0591,0.0,0.0591,,,,,,5.0,11838800.0,0.9408,0.0,0.9408,,,,,,,,,,,,,,,,,,,,
02.027.437/0001-44,2016-12-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,140000.0,1.0,0.5,0.5,,,,,
02.508.235/0001-14,2016-12-01,1,1.0,374.0,0.0219,0.0219,,3.0,4240.0,0.248,0.1743,0.0737,1.0,12486.0,0.7302,0.7302,,,,,,,,,,,,,,,,,,,,,,,,,,
03.251.720/0001-18,2016-12-31,1,181503.0,181503.0,0.242004,0.218259,0.023745,292299.0,292299.0,0.389732,0.157761,0.231971,,,,,,276198.0,276198.0,0.368264,,0.368264,,,,,,,,,,,,,,,,,,,,
03.507.519/0001-59,2016-12-01,1,1104.0,528889.0,0.9145,0.8443,0.0702,1.0,49464.0,0.0855,0.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03.683.056/0001-86,2016-12-01,3,127307321.0,3882.0,0.919124901616695,0.846560096885551,0.153439903114449,11201951.0,1.0,0.0808750983833053,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.855.441/0001-63,2016-12-31,1,1.0,1219857.0,0.0084588545086829,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,142990804.0,0.991541145491317,1.0,0.0
04.066.582/0001-60,2016-12-01,1,1027.0,200000.0,1.0,0.959,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.141.645/0001-03,2016-12-31,1,1771.0,56959214.0,0.8251,0.7841,0.041,1.0,4390722.0,0.0636,0.0636,,1.0,7683564.0,0.1113,,0.1113,,,,,,,,,,,,,,,,,,,,,,,,,
04.722.883/0001-02,2016-12-01,1,742.0,645615.0,0.164,0.1367,0.0273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3289947.0,0.836,0.0,0.836
04.782.236/0001-88,2016-12-31,1,1.0,36036.0,0.0153,,0.0153,,,,,,1.0,290379.0,0.1233,,0.1233,,,,,,,,,,,,,,,,,,,,,1.0,2029069.0,0.8614,,0.8614
05.437.916/0001-27,2016-12-31,1,290565.0,290565.0,0.818493,0.681473,0.137028,64435.0,64435.0,0.181507,,0.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.562.312/0001-02,2016-12-01,2,1796.0,74612.0,0.7119,0.6863,0.0256,3.0,30188.0,0.2881,0.2881,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.175.262/0001-73,2016-12-31,1,443.0,220640.0,0.9349,0.9622,0.0378,1.0,15360.0,0.0651,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.000.400/0001-46,2016-12-01,1,3494.0,123340.0,0.948769,0.911685,0.037085,1.0,6660.0,0.051231,0.051231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07.122.725/0001-00,2016-12-01,1,2437.0,89343.0,0.8533,0.7942,0.0591,,,,,,1.0,15357.0,0.1467,0.0,0.1467,,,,,,,,,,,,,,,,,,,,,,,,,
