CNPJ_Fundo,Data_Referencia,Versao,Nome_Diretor_Representante,Funcao,Nome_Empresa,Periodo,Cargo_Funcao,Atividade_Principal
00.332.266/0001-31,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
00.762.723/0001-28,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
00.868.235/0001-08,2016-12-31,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
01.201.140/0001-90,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
01.235.622/0001-61,2016-12-01,2,CARLOS AUGUSTO SALAMONDE,Diretor Responsável pelo FII,BNY Mellon Serviços Financeiros DTVM,2013 -Atualmente,"Asset Servicing - Head Brasil e América Latina, Diretor Vice-Presidente",Responsável pelo negocio de Asset Servicing no Brasil e América Latina
01.235.622/0001-61,2016-12-01,2,CARLOS AUGUSTO SALAMONDE,Diretor Responsável pelo FII,Banco JP Morgan,2011-2013,"Asset Management - CEO, Investment Management Brasil, Managing Director",Responsável pelo negocio de Asset Management no Brasil
01.235.622/0001-61,2016-12-01,2,CARLOS AUGUSTO SALAMONDE,Diretor Responsável pelo FII,Banco Itaú Unibanco,2008-2011,"Asset Servicing - Head Brasil e América Latina, Diretor Vice-Presidente",Responsável pelo negocio de Asset Servicing no Brasil e América Latina
01.497.954/0001-14,2016-12-01,1,EDE ANTONIO GASPERIN,Diretor Responsável pelo FII,Corretora Geral de Valores e Câmbio Ltda.,Desde 01/06/1982.,Diretor,Corretora de Valores e Câmbio
01.601.918/0001-59,2016-12-01,1,PAULO ANDRE PORTO BILYK,Diretor Responsável pelo FII,Rio Bravo Investimentos,Últimos 5 anos,Chief Investment Officer,Investimentos Imobiliários
01.633.741/0001-72,2016-12-31,1,Henrique Freihofer Molinari,Diretor Responsável pelo FII,Coin DTVM LTDA,30/08/1989 a atual,Sócio-diretor,Sociedade Corretora
01.636.325/0001-28,2016-12-31,1,HORACIO MARIO KLEINMAN,Diretor Responsável pelo FII,BR-CAPITAL D.T.V.M. S.A.,1991 até a presente data,Diretor Executivo,Distribuidora de Títulos e Valores Mobiliários
01.636.325/0001-28,2016-12-31,1,HORACIO MARIO KLEINMAN,Diretor Responsável pelo FII,UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.,1991 até a presente data,Diretor Executivo,"Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária."
01.657.856/0001-05,2016-12-31,1,HORACIO MARIO KLEINMAN,Diretor Responsável pelo FII,BR-CAPITAL D.T.V.M. S.A.,1991 até a presente data,Diretor Executivo,Distribuidora de Títulos e Valores Mobiliários
