CNPJ_Fundo,Data_Referencia,Versao,Numero_Processo,Juizo,Instancia,Data_Instauracao,Valor_Causa,Partes_Processo,Chance_Perda,Principais_Fatos,Analise_Impacto_Perda
00.332.266/0001-31,2016-12-01,1,0122276-84.2007.8.19.0001,05ª Vara Cível,Em execução ou cumprimento de sentença,2007-08-16,603.219409160047,JOAQUIM MARTINS DUARTE FILHO E LISETTE BORGHI DUARTE,PROVÁVEL,"Em execução ou cumprimento de sentença - Valor atual envolvido de R$ 603,22 de perspectiva provável - JOAQUIM MARTINS DUARTE FILHO E LISETTE BORGHI DUARTE vs. FUNDO DE INVESTIMENTO IMOBILIÁRIO BAMERINDUS VIA PARQUE SHOPPING - Os Autores ajuizaram esta demanda objetivando a declaração da rescisão das Escrituras Públicas de Promessa de Compra e Venda das unidades imobiliárias 302 e 303, do empreendimento denominado ""Via Parque Office"".02/12/2016 Juntada de petição. Antes houve  a publicação de despacho com o seguinte teor: ""Torno sem efeito certidão de fl. 320. Certifico que a apelação é tempestiva e que foi devidamente preparada"". Aguarda-se a remessa dos autos para julgamento do recurso de apelação interposto pela Ré contra sentença que julgou parcialmente procedente o pedido formulado pelos Autores, declarando rescindidas as mencionadas Escrituras Públicas de Promessa de Compra e Venda - acertadamente - desde a data da citação, o que ocorreu em 03.07.2009, não sendo analisado o pedido contraposto formulado pela Ré para que os Autores fossem condenados a pagar as dívidas relativas às cotas condominiais e fiscais que incidiram sobre os imóveis desde a assinatura das escrituras de promessa de compra e venda, até a decisão declarando a rescisão dos contratos. [Não há mais valores envolvidos para fins de desembolso]. Publicado acórdão negando provimento à apelação em 14/10/2016.  Em 02/12/2016 publicado o despacho ""Cumpra-se V. Acórdão"".",Valor Contingenciado
00.868.235/0001-08,2016-12-31,1,0003891-91.2011.8.21.1001,01ª Vara Cível,1º Instancia,2011-05-31,10000.0,SAFE ESTACIONAMENTOS E GARAGENS DE VEÍCULOS LTDA,POSSÍVEL,"Em 26/08/2016, proferido despacho determinando que se aguarde a designação de datas para audiência do ano de 2017, bem como determinando a expedição de Carta Precatória para oitiva de testemunhas residentes fora da comarca. Em 02/12/2016, proferido despacho determinando a expedição de cartas precatória inquiritórias para oitivia das testemunhas.","O valor envolvido atualizado é de R$ 2.212.312,88"
01.201.140/0001-90,2016-12-01,1,1001001-58.2015.5.02.0434,4ª Vara  do Trabalho,Com sentença,2015-12-17,37418.03,GISELDA MARYZETTE TEIXEIRA DE OLIVEIRA,PROVÁVEL,"Reclamatória (Reclamatória Trabalhista) - Com sentença - Valor atual envolvido de R$ 37.418,03 de perspectiva provável - GISELDA MARYZETTE TEIXEIRA DE OLIVEIRA vs. SHOPPING GRAND PLAZA VERZANI & SANDRINI LTDA - Reclamatória trabalhista.30/11/2016 Em 13/10/16 julgando procedente em parte, condenação subsidiária do Condomínio pelo período de 29/10/14 a 05/08/1015.",Valor Contingenciado
01.235.622/0001-61,2016-12-01,2,0116184-12.2015.8.19.0001,48ª Vara Cível da Capital/RJ,1ª Instância,2015-03-31,10080.93,Elaine Lima de Miranda  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0216529-83.2015.8.19.0001,48ª Vara Cível da Capital/RJ,1ª Instância,2015-05-13,8627.28,"Mauricio Melo Cavalcante, Isabel Cristina dos Reis Correia Cavalcante  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA",POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0180975-87.2015.8.19.0001,14ª Vara Cível da Capital/RJ,1ª Instância,2015-04-16,8627.28,Luiz Jorge da Costa Fontes  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0176635-03.2015.8.19.0001,31ª Vara Cível da Capital/RJ,1ª Instância,2015-04-15,8627.28,Monique Cristine Mattos de Mesquita  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0168679-33.2015.8.19.0001,21ª Vara Cível da Capital/RJ,1ª Instância,2015-04-13,8627.28,"Girleu Oliveira Asevedo Junior, Flavia Lopes Araujo x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA",POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0134299-81.2015.8.19.0001,13ª Vara Cível da Capital/RJ,1ª Instância,2015-04-07,8627.28,Solange de Mello Mattos  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0168587-55.2015.8.19.0001,49ª Vara Cível da Capital/RJ,1ª Instância,2015-04-13,8627.28,Afranio Felipe de Castro Dornas  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0133739-42.2015.8.19.0001,52ª Vara Cível da Capital/RJ,1ª Instância,2015-04-07,8627.28,"Raphael Constant da Costa, Maíra Andrade Rodrigues  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA",POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0180959-36.2015.8.19.0001,39ª Vara Cível da Capital/RJ,1ª Instância,2015-04-16,8627.28,"Alexandre Coelho da Silva, Tatiana Barreto Maciel  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA",POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence. ",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0114835-71.2015.8.19.0001,45ª Vara Cível da Capital/RJ,1ª Instância,2015-03-31,8627.28,Guilherme Corrêa Sá  x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0171310-47.2015.8.19.0001,10ª Vara Cível da Capital/RJ,1ª Instância,2015-04-14,8627.28,Fatima Aparecida Pires Miguel x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA,POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence. ",Perda dos valores relacionados
01.235.622/0001-61,2016-12-01,2,0237353-63.2015.8.19.0001,32ª Vara Cível da Capital/RJ,1ª Instância,2015-05-29,8627.28,"Davi Ferreira de Souza, Renata de Almeida Pacheco x OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO e BALASSIANO ENGENHARIA LTDA",POSSÍVEL,"Trata-se de ação de cobrança requerendo a restituição dos valores pagos a título de ""ligações definitivas"", referentes ao empreendimento Stilo Tijuca Residence.",Perda dos valores relacionados
