CNPJ_Fundo,Data_Referencia,Versao,Numero_Processo,Valores,Causa_Contingencia
04.722.883/0001-02,2016-12-01,1,0129830-64.2010.8.26.0100 (583.00.2010.129830),"467891,11","Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0038203-10.2005.8.26.0114,93920,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0025619-03.2008.8.26.0114,961268,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0016522-47.2006.8.26.0114,54132,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0049514-90.2008.8.26.0114,118770,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0028235-14.2009.8.26.0114,35638,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0037911-25.2005.8.26.0114,481119,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0050817-13.2006.8.26.0114,195290,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0038740-69.2006.8.26.0114,66585,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0050522-73.2006.8.26.0114,10667.8,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0038204-92.2005.8.26.0114,168629,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0044474-35.2005.8.26.0114,430895,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0038202-25.2005.8.26.0114,311605,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0039658-10.2005.8.26.0114,556994,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0036067-69.2007.8.26.0114,7696,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
