CNPJ_Fundo,Data_Referencia,Versao,Nome_Representante,Nome_Fundo,Data_Eleicao,Termino_Mandato
05.562.312/0001-02,2016-12-01,2,Gabriel José Lindenbaum,BB FII PROGRESSIVO,2016-06-14,2018-06-14
05.562.312/0001-02,2016-12-01,2,Luiz Gustavo Aurnheimer Vieira,BB FII PROGRESSIVO,2016-06-14,2018-06-14
07.000.400/0001-46,2016-12-01,1,Gabriel Jose Lindenbaum,Fundo de Investimento Imobiliário Edifício Almirante Barroso,2016-05-31,2017-05-31
07.000.400/0001-46,2016-12-01,1,Luiz Gustavo Aurnheimer Vieira,Fundo de Investimento Imobiliário Edifício Almirante Barroso,2016-05-31,2017-05-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2016-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
05.562.312/0001-02,2017-12-01,1,Gabriel José Lindenbaum,BB FII PROGRESSIVO,2016-06-14,2018-06-14
05.562.312/0001-02,2017-12-01,1,Luiz Gustavo Aurnheimer Vieira,BB FII PROGRESSIVO,2016-06-14,2018-06-14
07.000.400/0001-46,2017-12-01,1,Gabriel Jose Lindenbaum,Fundo de Investimento Imobiliário Edifício Almirante Barroso,2016-05-31,2017-05-31
07.000.400/0001-46,2017-12-01,1,Luiz Gustavo Aurnheimer Vieira,Fundo de Investimento Imobiliário Edifício Almirante Barroso,2016-05-31,2017-05-31
07.583.627/0001-61,2017-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2017-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2017-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
07.583.627/0001-61,2017-12-01,1,Não aplicável,Não aplicável,1899-12-31,1899-12-31
