CNPJ_Fundo,Data_Referencia,Versao,Data_Entrega,Nome_Fundo,Data_Funcionamento,Publico_Alvo,Codigo_ISIN,Quantidade_Cotas_Emitidas,Fundo_Exclusivo,Fundo_Nao_Listado_Exclusivo,Cotistas_Vinculo_Familiar,Mandato,Segmento_Atuacao,Tipo_Gestao,Prazo_Duracao,Data_Prazo_Duracao,Encerramento_Exercicio_Social,Mercado_Negociacao_Bolsa,Mercado_Negociacao_MBO,Mercado_Negociacao_MB,Entidade_Administradora_BVMF,Entidade_Administradora_CETIP,Nome_Administrador,CNPJ_Administrador,Logradouro,Numero,Complemento,Bairro,Cidade,Estado,CEP,Telefone1,Telefone2,Telefone3,Site,Email,Data_Encerramento_Trimestre
00.332.266/0001-31,2016-12-31,2,2017-10-16,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,1994-11-24,INVESTIDORES EM GERAL,BRFVPQCTF015,2584398.0,Não,Não,Não,Renda,Shoppings,Passiva,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,332266000131.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
00.613.094/0001-74,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,1995-03-14,INVESTIDORES EM GERAL,BRPABYCTF012,758400.0,Não,Não,Não,Desenvolvimento para Renda,Híbrido,Passiva,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,613094000174.0,RUA LAURO MULLER,116,"SALAS 2101, 2102 e 2108",BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 3725-7708,,,www.brkbdtvm.com.br,admfundos.brkb@brookfieldbr.com,2016-12-31
00.762.723/0001-28,2016-12-31,2,2017-10-16,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,1995-08-18,INVESTIDORES EM GERAL,BRCTXTCTF014,36319906.0,Não,Não,Não,Desenvolvimento para Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,762723000128.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
00.868.235/0001-08,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,1995-10-03,INVESTIDORES EM GERAL,BRHERMCTF004,54316.0,Não,Não,Não,Renda,Híbrido,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,868235000108.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
01.201.140/0001-90,2016-12-31,2,2017-10-16,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,1996-05-17,INVESTIDORES EM GERAL,BRABCPCTF000,61019165.0,Não,Não,Não,Renda,Shoppings,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,1201140000190.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
01.235.622/0001-61,2016-12-31,1,2017-02-15,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,1996-10-07,INVESTIDOR PROFISSIONAL,BRFTCECTF005,692257.0,Sim,Não,Não,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,1235622000161.0,Av. Presidente Wilson,231,11º andar,Centro,Rio de Janeiro,RJ,20030905,(21)32192554,,,www.bnymellon.com.br,bnymellon_cvm@bnymellon.com.br,2016-12-31
01.497.954/0001-14,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1996-10-22,INVESTIDORES EM GERAL,0,8703994.0,Não,Não,Não,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,CORRETORA GERAL DE VALORES E CÂMBIO LTDA,1497954000114.0,RUA DR. JOSÉ MONTAURY,139,5º AO 8º ANDAR,CENTRO,PORTO ALEGRE,RS,90010-090,(51) 3213-2727,,,www.geralinvestimentos.com.br,edegasperin@geralinvestimentos.com.br,2016-12-31
01.601.918/0001-59,2016-12-31,1,2017-02-14,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,1997-01-14,INVESTIDORES EM GERAL,0,500000.0,Não,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,RIO BRAVO INVESTIMENTOS DTVM LTDA,1601918000159.0,AV. CHEDID JAFET,222,BLOCO B - 3º ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br,2016-12-31
01.633.741/0001-72,2016-12-31,1,2017-02-15,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,1997-03-18,INVESTIDORES EM GERAL,BRFMOFCT010,508008.0,Não,Não,Não,Renda,Lajes Corporativas,Passiva,Indeterminado,,2016/12/31,Sim,Não,Não,Sim,Não,COIN DTVM LTDA,1633741000172.0,Avenida Brigadeiro Faria Lima,1461,10º andar Torre Sul,Jardim Paulistano,São Paulo,SP,01452-921,(11) 3035-4143,(11) 3035-4141,,www.coinvalores.com.br,admfundoimobiliario@coinvalores.com.br,2016-12-31
01.636.325/0001-28,2016-12-31,1,2017-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,1997-01-10,INVESTIDORES EM GERAL,BRPMOVCTF008,233608.0,Não,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BR-CAPITAL  DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A,1636325000128.0,AVENIDA DAS NAÇÕES UNIDAS,11857,CONJ. 111,BROOKLYN PAULISTA,SÃO PAULO,SP,04578-908,(11) 5508-3500,,,www.brcapital.com.br,llc@brcapitaldtvm.com.br,2016-12-31
01.657.856/0001-05,2016-12-31,1,2017-02-13,SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,1996-10-31,INVESTIDORES EM GERAL,BRSCPFCTF003,4200000.0,Não,Não,Não,Renda,Shoppings,Ativa,Indeterminado,,31/12,Sim,Não,Não,Sim,Não,BR-CAPITAL DIST.DE TITULOS E VALORES MOBILIÁRIOS S.A.,1657856000105.0,AVENIDA DAS NAÇÕES UNIDAS,11.857,CONJ. 111,BROOKLIN PAULISTA,SÃO PAULO,SP,04578-908,(11) 5508-3500,,,www.brcapital.com.br,brcapital@brcapital.com.br,2016-12-31
