,CNPJ_Gestor,Nome_Gestor
0,03215562000140,dynamo v. c. administradora de recursos ltda
1,03864607000108,rio bravo investimentos ltda
2,00329598000167,indigo investimentos distribuidora de titulos e valores mobiliarios ltda
3,00336036000140,coinvalores corret de cambio e vals mobiliarios ltda
4,00360305000104,caixa economica federal
5,00424749000166,sim paul administracao de patrimonio ltda
6,00806535000154,planner corretora de valores s/a
7,01034817000143,fator ore asset gestora de recursos ltda
8,01116811000115,modal administradora de recursos ltda.
9,01290707000142,aureo administracao de recursos ltda
10,01582158000180,opportunity distribuidora de tit e valor mobiliar ltda
11,01591499000111,tag investimentos ltda.
12,01861016000151,far - fator administracao de recursos ltda
13,02150453000120,oliveira trust servicer s/a
14,02201501000161,bny mellon servicos financeiros distribuidora de titulos e valores mobiliarios s/a
15,02269237000106,reliance asset management - administracao de recursos ltda
16,02332886000104,"xp investimentos corretora de cambio, titulos e valores mobiliarios s/a"
17,02332886001178,"xp investimentos corretora de cambio, titulos e valores mobiliarios s/a"
18,02671743000119,cm capital markets distribuidora de titulos e valores mobiliarios ltda.
19,03017677000120,banco j. safra s.a
20,03084098000109,artesanal investimentos ltda.
21,03226533000184,af invest administracao de recursos ltda.
22,03384738000198,bv distribuidora de titulos e valores mobiliarios ltda.
23,03539353000152,hsi gestora de fundos imobiliarios ltda
24,03751794000113,terra investimentos distribuidora de titulos e valores mobiliarios ltda
25,03829051000119,azimut brasil wealth management ltda
26,03987891000100,claritas administracao de recursos ltda.
27,04274010000176,capitania invest s/a
28,04608141000142,sfi investimentos ltda
29,04608171000159,maua capital real estate ltda.
30,05083840000189,administradora pmv ltda.
31,05196089000127,geral asset management s/s ltda
32,05230601000104,modal asset management ltda
33,05389174000101,modal distribuidora de titulos e valores mobiliarios ltda
34,05451668000179,polo capital gestao de recursos ltda
35,05585083000141,inter asset gestao de recursos ltda
36,05599583000132,infra asset management ltda.
37,05677501000120,bs2 asset management - administradora de recursos ltda.
38,06128322000105,cfo administracao de recursos ltda.
39,06249546000248,rodobens locacao de imoveis ltda
40,07152171000185,a5 gestao de investimentos ltda.
41,07221832000187,arguciacapital gestao de recursos ltda
42,07250864000100,qlz gestao de recursos financeiros ltda
43,07397614000106,sicoob distribuidora de titulos e valores mobiliarios ltda.
44,07559989000117,valora gestao de investimentos ltda.
45,07611259000118,riviera gestora de recursos ltda
46,07625159000140,btg pactual gestora de investimentos alternativos ltda
47,07625200000189,xp gestao de recursos ltda
48,07669414000157,fid trust servicos fiduciarios ltda
49,07683636000124,quorum participacoes ltda.
50,07700557000184,erbe incorporadora s.a.
51,07981934000109,rb capital asset management ltda.
52,08157028000149,fram capital - gestao de ativos ltda.
53,08278785000170,latour capital do brasil ltda.
54,08592877000120,del monte - gestao de investimentos ltda
55,08604187000144,kinea investimentos ltda.
56,08639165000110,abc capital - gestao de investimentos ltda
57,08647754000140,high gestao e investimentos ltda
58,08801621000186,syn prop e tech s.a.
59,08964545000120,reditus investimentos ltda
60,09146756000118,jera capital gestao de recursos ltda.
61,09172045000118,gtis partners brasil gestao consultoria em investimentos e participacoes ltda
62,09204714000196,petra capital gestao de investimentos ltda
63,09401450000160,jpp gestao de recursos ltda
64,09446129000100,g5 administradora de recursos ltda.
